invoice_id,invoice_date,paid_date,paid_days,is_paid,amount,currency,supplier_id,supplier_name,global_ultimate_id,global_ultimate_name,category_code,category_name,segment_code,segment_name,plant_id,plant_name,region,country,source_system_id,payment_term_code,payment_term_name,nominal_days
INV-000025,2026-04-21,2026-05-07,16,true,301684.36,USD,SUP-00001,Falcon Systems Osaka Pvt. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-SHA,Shanghai Plant,APAC,China,SAP_S4HANA,NET15,Net 15,15
INV-000026,2025-09-02,2025-10-21,49,true,555410.58,USD,SUP-00106,Bluepeak Bearing Works Eindhoven B.V.,GU-0026,Bluepeak Bearing Works Group,40160000,HVAC equipment,40000000,Distribution and Conditioning Systems and Equipment,PLT-ROT,Rotterdam DC,EMEA,Netherlands,FIELDGLASS,D2N10N45,2% 10 Net 45,45
INV-000027,2026-05-11,2026-05-26,15,true,384617.3,USD,SUP-00024,Apex Supply Co Lyon AG,GU-0005,Apex Supply Co Global,31350000,Machined castings,31000000,Manufacturing Components and Supplies,PLT-MAN,Manchester Plant,EMEA,United Kingdom,FIELDGLASS,NET14,Net 14,14
INV-000028,2025-07-24,2025-09-08,46,true,110616.01,USD,SUP-00006,Falcon Systems Nagoya Pte. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-PUN,Pune Plant,APAC,India,ARIBA,NET45,Net 45,45
INV-000029,2026-03-05,2026-03-20,15,true,309185.73,USD,SUP-00024,Apex Supply Co Lyon AG,GU-0005,Apex Supply Co Global,31350000,Machined castings,31000000,Manufacturing Components and Supplies,PLT-MAN,Manchester Plant,EMEA,United Kingdom,ARIBA,NET14,Net 14,14
INV-000030,2026-02-24,2026-03-27,31,true,99052.12,USD,SUP-00009,Frontier Polymers Montreal Inc.,GU-0002,Frontier Polymers Global,31160000,Hardware and fasteners,31000000,Manufacturing Components and Supplies,PLT-DET,Detroit Plant,NAMER,United States,ARIBA,NET21,Net 21,21
INV-000031,2026-02-25,2026-05-17,81,true,301871.86,USD,SUP-00014,Orion Supply Co Osaka Pte. Ltd.,GU-0003,Orion Supply Co International,90120000,Travel services,90000000,Travel and Food and Lodging and Entertainment Services,PLT-SNG,Singapore Hub,APAC,Singapore,SAP_ECC,EOM45,EOM Net 45,60
INV-000032,2026-02-26,2026-04-01,34,true,174526.73,USD,SUP-00169,Kestrel Instruments Houston Corp.,GU-0042,Kestrel Instruments Industries,76120000,Waste management,76000000,Industrial Cleaning Services,PLT-STU,Stuttgart Plant,EMEA,Germany,SAP_S4HANA,NET30,Net 30,30
INV-000033,2025-08-19,2025-08-24,5,true,74548.14,USD,SUP-00010,Frontier Polymers Charlotte LLC,GU-0002,Frontier Polymers Global,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies,PLT-PUN,Pune Plant,APAC,India,FIELDGLASS,NET02,Net 2,2
INV-000034,2026-02-28,2026-03-16,16,true,552121.41,USD,SUP-00057,Sequoia Fluid Systems Queretaro S.A.,GU-0014,Sequoia Fluid Systems Global,40170000,Compressors and blowers,40000000,Distribution and Conditioning Systems and Equipment,PLT-MTY,Monterrey Plant,LATAM,Mexico,SAP_S4HANA,NET10,Net 10,10
INV-000035,2026-04-15,2026-06-11,57,true,26733.36,USD,SUP-00017,Orion Supply Co Chennai Co. Ltd.,GU-0003,Orion Supply Co International,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies,PLT-CHN,Chennai Plant,APAC,India,SAP_ECC,ADV5050,50% advance / 50% Net 30,30
INV-000036,2026-04-23,2026-05-27,34,true,875503.59,USD,SUP-00186,Monarch Electricals Bengaluru Pte. Ltd.,GU-0045,Monarch Electricals Inc.,40170000,Compressors and blowers,40000000,Distribution and Conditioning Systems and Equipment,PLT-SAO,Sao Paulo Plant,LATAM,Brazil,SAP_ECC,NET30,Net 30,30
INV-000037,2025-12-08,2025-12-24,16,true,265548.6,USD,SUP-00085,Orion Automation Queretaro S.A. de C.V.,GU-0021,Orion Automation International,31160000,Hardware and fasteners,31000000,Manufacturing Components and Supplies,PLT-MTY,Monterrey Plant,LATAM,Mexico,SAP_ECC,NET10,Net 10,10
INV-000038,2026-03-02,2026-04-05,34,true,445216.81,USD,SUP-00032,Vantage Technologies Lyon GmbH,GU-0007,Vantage Technologies Inc.,39130000,Electrical hardware,39000000,Electrical Systems and Lighting and Components,PLT-ROT,Rotterdam DC,EMEA,Netherlands,SAP_S4HANA,NET30,Net 30,30
INV-000039,2025-11-30,2026-01-10,41,true,1783409.63,USD,SUP-00064,Yellowstone Solutions Sao Paulo S.A. de C.V.,GU-0015,Yellowstone Solutions Global,31160000,Hardware and fasteners,31000000,Manufacturing Components and Supplies,PLT-SAO,Sao Paulo Plant,LATAM,Brazil,SAP_ECC,MP25,"Monthly, paid 25th",40
INV-000040,2026-01-19,2026-02-05,17,true,410160.31,USD,SUP-00023,Umbra Fasteners Detroit Corp.,GU-0004,Umbra Fasteners International,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies,PLT-DET,Detroit Plant,NAMER,United States,SAP_S4HANA,NET02,Net 2,2
INV-000041,2026-04-27,2026-05-11,14,true,485802.28,USD,SUP-00004,Falcon Systems Chennai Co. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-CHN,Chennai Plant,APAC,India,SAP_S4HANA,NET15,Net 15,15
INV-000042,2026-05-31,2026-07-31,61,true,323847.79,USD,SUP-00010,Frontier Polymers Charlotte LLC,GU-0002,Frontier Polymers Global,31160000,Hardware and fasteners,31000000,Manufacturing Components and Supplies,PLT-CHN,Chennai Plant,APAC,India,FIELDGLASS,,,
INV-000043,2025-07-19,2025-09-08,51,true,835797.93,USD,SUP-00005,Falcon Systems Singapore Pte. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-CHN,Chennai Plant,APAC,India,FIELDGLASS,NET45,Net 45,45
INV-000044,2025-11-23,2025-11-24,1,true,270903.03,USD,SUP-00168,Highpoint Bearing Works Osaka Pte. Ltd.,GU-0041,Highpoint Bearing Works Holdings,31160000,Hardware and fasteners,31000000,Manufacturing Components and Supplies,PLT-SNG,Singapore Hub,APAC,Singapore,SAP_ECC,NET08,Net 8,8
INV-000045,2025-11-29,2026-03-11,102,true,313018.49,USD,SUP-00007,Frontier Polymers Charlotte Inc.,GU-0002,Frontier Polymers Global,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies,PLT-CLT,Charlotte Plant,NAMER,United States,ARIBA,NET100,Net 100,100
INV-000046,2025-11-05,2025-12-02,27,true,143344.62,USD,SUP-00120,Bluepeak Services Chennai Co. Ltd.,GU-0029,Bluepeak Services Holdings,25100000,Motor vehicles,25000000,Commercial and Private Vehicles and Components,PLT-HOU,Houston Plant,NAMER,United States,SAP_ECC,NET25,Net 25,25
INV-000047,2026-03-15,2026-04-10,26,true,3637124.49,USD,SUP-00027,Orion Polymers Queretaro Ltda.,GU-0006,Orion Polymers Group,43210000,Computer equipment,43000000,Information Technology Broadcasting and Telecommunications,PLT-MTY,Monterrey Plant,LATAM,Mexico,FIELDGLASS,NET05,Net 5,5
INV-000048,2026-01-29,2026-02-03,5,true,3541135.69,USD,SUP-00008,Frontier Polymers Detroit Corp.,GU-0002,Frontier Polymers Global,31160000,Hardware and fasteners,31000000,Manufacturing Components and Supplies,PLT-CLT,Charlotte Plant,NAMER,United States,SAP_ECC,NET02,Net 2,2
INV-000049,2026-03-16,2026-03-25,9,true,59460.91,USD,SUP-00069,Harbor Packaging Queretaro S.A.,GU-0016,Harbor Packaging Holdings,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies,PLT-SAO,Sao Paulo Plant,LATAM,Brazil,ARIBA,NET02,Net 2,2
INV-000050,2025-09-06,2025-12-10,95,true,316449.82,USD,SUP-00018,Orion Supply Co Shanghai Pte. Ltd.,GU-0003,Orion Supply Co International,90120000,Travel services,90000000,Travel and Food and Lodging and Entertainment Services,PLT-PUN,Pune Plant,APAC,India,SAP_S4HANA,NET90,Net 90,90
INV-000051,2025-08-05,2025-09-08,34,true,994202.13,USD,SUP-00078,Everest Cloud Services Rotterdam B.V.,GU-0019,Everest Cloud Services Industries,47130000,Cleaning supplies,47000000,Cleaning Equipment and Supplies,PLT-STU,Stuttgart Plant,EMEA,Germany,SAP_S4HANA,NET50,Net 50,50
INV-000052,2026-01-10,2026-01-23,13,true,93429.33,USD,SUP-00006,Falcon Systems Nagoya Pte. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-SNG,Singapore Hub,APAC,Singapore,SAP_S4HANA,NET15,Net 15,15
INV-000053,2025-11-30,2026-01-15,46,true,149305.31,USD,SUP-00005,Falcon Systems Singapore Pte. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-PUN,Pune Plant,APAC,India,SAP_S4HANA,NET45,Net 45,45
INV-000054,2026-06-04,2026-06-23,19,true,101637.41,USD,SUP-00004,Falcon Systems Chennai Co. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-PUN,Pune Plant,APAC,India,SAP_S4HANA,NET15,Net 15,15
INV-000055,2025-07-29,2025-09-14,47,true,261831.9,USD,SUP-00005,Falcon Systems Singapore Pte. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-CHN,Chennai Plant,APAC,India,ARIBA,NET45,Net 45,45
INV-000056,2025-09-28,2025-11-21,54,true,281306.68,USD,SUP-00002,Falcon Systems Bengaluru Pte. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-CHN,Chennai Plant,APAC,India,SAP_ECC,NET45,Net 45,45
INV-000057,2025-11-01,2025-11-19,18,true,465509.67,USD,SUP-00068,Harbor Packaging Campinas Ltda.,GU-0016,Harbor Packaging Holdings,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies,PLT-MTY,Monterrey Plant,LATAM,Mexico,ARIBA,NET04,Net 4,4
INV-000058,2026-05-28,2026-06-24,27,true,114508.28,USD,SUP-00131,Pioneer Fluid Systems Campinas S.A.,GU-0032,Pioneer Fluid Systems Holdings,72100000,Facility maintenance,72000000,Building and Facility Maintenance Services,PLT-MTY,Monterrey Plant,LATAM,Mexico,FIELDGLASS,EOM15,End of month + 15,30
INV-000059,2026-03-03,2026-03-13,10,true,179487.71,USD,SUP-00011,Frontier Polymers Montreal Co.,GU-0002,Frontier Polymers Global,31160000,Hardware and fasteners,31000000,Manufacturing Components and Supplies,PLT-CLT,Charlotte Plant,NAMER,United States,SAP_ECC,NET08,Net 8,8
INV-000060,2026-02-24,2026-03-04,8,true,832243.03,USD,SUP-00057,Sequoia Fluid Systems Queretaro S.A.,GU-0014,Sequoia Fluid Systems Global,43210000,Computer equipment,43000000,Information Technology Broadcasting and Telecommunications,PLT-MTY,Monterrey Plant,LATAM,Mexico,SAP_S4HANA,NET10,Net 10,10
INV-000061,2025-10-22,2025-12-23,62,true,429180.07,USD,SUP-00185,Monarch Electricals Nagoya Co. Ltd.,GU-0045,Monarch Electricals Inc.,31160000,Hardware and fasteners,31000000,Manufacturing Components and Supplies,PLT-PUN,Pune Plant,APAC,India,SAP_S4HANA,NET60,Net 60,60
INV-000062,2026-03-08,2026-03-27,19,true,185464.5,USD,SUP-00002,Falcon Systems Bengaluru Pte. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-SHA,Shanghai Plant,APAC,China,SAP_ECC,NET15,Net 15,15
INV-000063,2025-09-09,2025-10-11,32,true,422444.72,USD,SUP-00128,Pioneer Fluid Systems Queretaro S.A.,GU-0032,Pioneer Fluid Systems Holdings,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies,PLT-MTY,Monterrey Plant,LATAM,Mexico,SAP_S4HANA,MP10,"Monthly, paid 10th",25
INV-000064,2025-07-07,2025-08-11,35,true,207157.3,USD,SUP-00021,Umbra Fasteners Montreal Co.,GU-0004,Umbra Fasteners International,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies,PLT-HOU,Houston Plant,NAMER,United States,FIELDGLASS,NET21,Net 21,21
INV-000065,2026-01-20,2026-03-05,44,true,171680.83,USD,SUP-00001,Falcon Systems Osaka Pvt. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-SHA,Shanghai Plant,APAC,China,SAP_S4HANA,NET45,Net 45,45
INV-000066,2025-07-05,2025-07-24,19,true,902079.19,USD,SUP-00082,Silverline Fabrication Shanghai Pvt. Ltd.,GU-0020,Silverline Fabrication Industries,25100000,Motor vehicles,25000000,Commercial and Private Vehicles and Components,PLT-PUN,Pune Plant,APAC,India,CONCUR,EOM15,End of month + 15,30
INV-000067,2025-07-24,2025-07-26,2,true,382263.23,USD,SUP-00180,Northwind Electricals Sao Paulo Ltda.,GU-0044,Northwind Electricals International,80110000,HR services,80000000,Management and Business Professionals and Admin Services,PLT-HOU,Houston Plant,NAMER,United States,FIELDGLASS,CIA,Cash in advance,0
INV-000068,2025-09-22,2025-10-24,32,true,1185273.6,USD,SUP-00086,Anchor Manufacturing Shanghai Co. Ltd.,GU-0022,Anchor Manufacturing Global,80100000,Management consulting,80000000,Management and Business Professionals and Admin Services,PLT-PUN,Pune Plant,APAC,India,SAP_ECC,D15N10N30,1.5% 10 Net 30,30
INV-000069,2026-05-06,2026-05-19,13,true,83223.78,USD,SUP-00066,Harbor Packaging Campinas S.A.,GU-0016,Harbor Packaging Holdings,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies,PLT-MTY,Monterrey Plant,LATAM,Mexico,SAP_S4HANA,NET04,Net 4,4
INV-000070,2026-05-13,,,false,557084.12,USD,SUP-00198,Falcon Consulting Charlotte LLC,GU-0048,Falcon Consulting Corporation,80110000,HR services,80000000,Management and Business Professionals and Admin Services,PLT-PUN,Pune Plant,APAC,India,FIELDGLASS,NET45,Net 45,45
INV-000071,2026-02-13,2026-02-25,12,true,133978.78,USD,SUP-00012,Frontier Polymers Charlotte LLC,GU-0002,Frontier Polymers Global,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies,PLT-TOR,Toronto Plant,NAMER,Canada,SAP_ECC,D1N10N30,1% 10 Net 30,30
INV-000072,2025-11-27,2026-01-09,43,true,149932.87,USD,SUP-00013,Orion Supply Co Osaka Pvt. Ltd.,GU-0003,Orion Supply Co International,90120000,Travel services,90000000,Travel and Food and Lodging and Entertainment Services,PLT-PUN,Pune Plant,APAC,India,CONCUR,NET21,Net 21,21
INV-000073,2025-09-13,2025-11-14,62,true,188284.17,USD,SUP-00198,Falcon Consulting Charlotte LLC,GU-0048,Falcon Consulting Corporation,43220000,Networking equipment,43000000,Information Technology Broadcasting and Telecommunications,PLT-DET,Detroit Plant,NAMER,United States,SAP_S4HANA,NET60,Net 60,60
INV-000074,2026-05-14,2026-06-30,47,true,39377.16,USD,SUP-00006,Falcon Systems Nagoya Pte. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-PUN,Pune Plant,APAC,India,SAP_S4HANA,NET45,Net 45,45
INV-000075,2026-01-20,2026-03-04,43,true,623182.2,USD,SUP-00081,Everest Cloud Services Eindhoven S.A.,GU-0019,Everest Cloud Services Industries,47130000,Cleaning supplies,47000000,Cleaning Equipment and Supplies,PLT-STU,Stuttgart Plant,EMEA,Germany,SAP_S4HANA,NET50,Net 50,50
INV-000076,2025-07-14,2025-08-07,24,true,1551037.52,USD,SUP-00010,Frontier Polymers Charlotte LLC,GU-0002,Frontier Polymers Global,31160000,Hardware and fasteners,31000000,Manufacturing Components and Supplies,PLT-CLT,Charlotte Plant,NAMER,United States,SAP_S4HANA,NET21,Net 21,21
INV-000077,2026-06-03,2026-06-11,8,true,64281.99,USD,SUP-00012,Frontier Polymers Charlotte LLC,GU-0002,Frontier Polymers Global,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies,PLT-DET,Detroit Plant,NAMER,United States,SAP_ECC,D15N10N30,1.5% 10 Net 30,30
INV-000078,2025-08-25,2025-09-11,17,true,1402402.13,USD,SUP-00024,Apex Supply Co Lyon AG,GU-0005,Apex Supply Co Global,31350000,Machined castings,31000000,Manufacturing Components and Supplies,PLT-ROT,Rotterdam DC,EMEA,Netherlands,SAP_ECC,NET14,Net 14,14
INV-000079,2025-08-20,2025-10-03,44,true,77874.22,USD,SUP-00006,Falcon Systems Nagoya Pte. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-PUN,Pune Plant,APAC,India,SAP_S4HANA,NET45,Net 45,45
INV-000080,2025-08-13,2025-10-04,52,true,118537.12,USD,SUP-00018,Orion Supply Co Shanghai Pte. Ltd.,GU-0003,Orion Supply Co International,90120000,Travel services,90000000,Travel and Food and Lodging and Entertainment Services,PLT-PUN,Pune Plant,APAC,India,CONCUR,MP25,"Monthly, paid 25th",40
INV-000081,2025-07-12,2025-08-17,36,true,1129974.82,USD,SUP-00022,Umbra Fasteners Toronto LLC,GU-0004,Umbra Fasteners International,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies,PLT-CLT,Charlotte Plant,NAMER,United States,SAP_S4HANA,NET11,Net 11,11
INV-000082,2026-05-24,2026-07-17,54,true,302488.71,USD,SUP-00002,Falcon Systems Bengaluru Pte. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-PUN,Pune Plant,APAC,India,ARIBA,NET45,Net 45,45
INV-000083,2026-04-22,2026-06-06,45,true,131188.39,USD,SUP-00016,Orion Supply Co Nagoya Pvt. Ltd.,GU-0003,Orion Supply Co International,90120000,Travel services,90000000,Travel and Food and Lodging and Entertainment Services,PLT-MAN,Manchester Plant,EMEA,United Kingdom,CONCUR,D15N10N30,1.5% 10 Net 30,30
INV-000084,2026-06-10,2026-10-17,129,true,513563.64,USD,SUP-00039,Sequoia Fasteners Lille Ltd.,GU-0008,Sequoia Fasteners Holdings,90120000,Travel services,90000000,Travel and Food and Lodging and Entertainment Services,PLT-TOR,Toronto Plant,NAMER,Canada,CONCUR,NET120,Net 120,120
INV-000085,2025-09-09,2025-09-19,10,true,239075.3,USD,SUP-00001,Falcon Systems Osaka Pvt. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-PUN,Pune Plant,APAC,India,FIELDGLASS,NET15,Net 15,15
INV-000086,2025-07-05,2025-07-20,15,true,182871.69,USD,SUP-00002,Falcon Systems Bengaluru Pte. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-SHA,Shanghai Plant,APAC,China,SAP_ECC,NET15,Net 15,15
INV-000087,2025-10-21,2026-02-23,125,true,180688.38,USD,SUP-00038,Sequoia Fasteners Leeds Ltd.,GU-0008,Sequoia Fasteners Holdings,90120000,Travel services,90000000,Travel and Food and Lodging and Entertainment Services,PLT-MAN,Manchester Plant,EMEA,United Kingdom,ARIBA,NET120,Net 120,120
INV-000088,2025-07-22,2025-08-10,19,true,787919.31,USD,SUP-00024,Apex Supply Co Lyon AG,GU-0005,Apex Supply Co Global,31350000,Machined castings,31000000,Manufacturing Components and Supplies,PLT-LYO,Lyon Plant,EMEA,France,SAP_S4HANA,NET14,Net 14,14
INV-000089,2025-08-30,2025-10-04,35,true,725635.18,USD,SUP-00052,Apex Chemicals Sao Paulo S.A.,GU-0013,Apex Chemicals Corporation,27140000,Hydraulic machinery,27000000,Tools and General Machinery,PLT-DET,Detroit Plant,NAMER,United States,SAP_ECC,NET35,Net 35,35
INV-000090,2026-05-02,2026-09-01,122,true,839474.53,USD,SUP-00036,Sequoia Fasteners Munich S.p.A.,GU-0008,Sequoia Fasteners Holdings,43230000,Software licenses,43000000,Information Technology Broadcasting and Telecommunications,PLT-MAN,Manchester Plant,EMEA,United Kingdom,SAP_S4HANA,NET120,Net 120,120
